Ticker,Name,Sector,Market Value,Weight (%),Notional Value,Shares,Price,Currency
MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,"48,454,221.40",0.02,"48,454,221.40","470,795.00",102.92,USD
NWL,NEWELL BRANDS INC,Consumer Discretionary,"48,387,492.44",0.02,"48,387,492.44","3,355,582.00",14.42,USD
UBFUT,CASH COLLATERAL USD UBFUT,Cash and/or Derivatives,"47,613,800.00",0.02,"47,613,800.00","47,613,800.00",100.00,USD
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,"43,583,096.70",0.01,"43,583,096.70","365,937.00",119.10,USD
LNC,LINCOLN NATIONAL CORP,Financials,"43,034,709.30",0.01,"43,034,709.30","1,372,718.00",31.35,USD
FOX,FOX CORP CLASS B,Communication,"40,747,698.45",0.01,"40,747,698.45","1,240,417.00",32.85,USD
DVA,DAVITA INC,Health Care,"40,528,890.12",0.01,"40,528,890.12","489,243.00",82.84,USD
LUMN,LUMEN TECHNOLOGIES INC,Communication,"28,809,672.20",0.01,"28,809,672.20","8,473,433.00",3.40,USD
DISH,DISH NETWORK CORP CLASS A,Communication,"27,297,341.40",0.01,"27,297,341.40","2,237,487.00",12.20,USD
NWS,NEWS CORP CLASS B,Communication,"18,516,858.10",0.01,"18,516,858.10","1,061,138.00",17.45,USD
